,ticker,weight,weight_scaled,date
208,KG,0.0,0.0,2010-02-01
209,KLAC,0.0,0.0,2010-02-01
210,KMB,0.0,0.0,2010-02-01
211,KO,0.0,0.0,2010-02-01
212,KR,0.0,0.0,2010-02-01
213,KSS,0.0,0.0,2010-02-01
214,LEG,0.0,0.0,2010-02-01
215,LH,0.0,0.0,2010-02-01
216,LLTC,0.0,0.0,2010-02-01
217,LLY,0.0,0.0,2010-02-01
218,LM,0.0,0.0,2010-02-01
219,LMT,0.0,0.0,2010-02-01
220,LNC,0.0,0.0,2010-02-01
221,LO,0.0,0.0,2010-02-01
222,LOW,0.0,0.0,2010-02-01
223,LSI,0.0,0.0,2010-02-01
224,LTD,0.0,0.0,2010-02-01
225,LUK,0.0,0.0,2010-02-01
226,LUV,0.0564700888812899,0.0564700888812897,2010-02-01
227,M,0.0,0.0,2010-02-01
228,MA,0.0,0.0,2010-02-01
229,MAR,0.0,0.0,2010-02-01
230,MAS,0.0,0.0,2010-02-01
231,MAT,0.0,0.0,2010-02-01
232,MCD,0.0,0.0,2010-02-01
233,MCHP,0.0,0.0,2010-02-01
234,MCK,0.0,0.0,2010-02-01
235,MCO,0.0,0.0,2010-02-01
236,MDP,0.0,0.0,2010-02-01
237,MDT,0.0,0.0,2010-02-01
238,MEE,0.0,0.0,2010-02-01
239,MET,0.0,0.0,2010-02-01
240,MFE,0.0,0.0,2010-02-01
241,MHP,0.0,0.0,2010-02-01
242,MHS,0.0,0.0,2010-02-01
243,MIL,0.0,0.0,2010-02-01
244,MJN,0.0,0.0,2010-02-01
245,MKC,0.0,0.0,2010-02-01
246,MMC,0.0,0.0,2010-02-01
247,MO,0.0,0.0,2010-02-01
248,MOLX,0.0,0.0,2010-02-01
249,MOT,0.0,0.0,2010-02-01
250,MRK,0.0,0.0,2010-02-01
251,MRO,0.0,0.0,2010-02-01
252,MS,0.0,0.0,2010-02-01
253,MSFT,0.0,0.0,2010-02-01
254,MTB,0.0,0.0,2010-02-01
255,MU,0.0,0.0,2010-02-01
256,MUR,0.0,0.0,2010-02-01
257,MWV,0.0,0.0,2010-02-01
258,MWW,0.0,0.0,2010-02-01
259,MYL,0.0,0.0,2010-02-01
260,NBL,0.0,0.0,2010-02-01
261,NBR,0.0,0.0,2010-02-01
262,NDAQ,0.0,0.0,2010-02-01
263,NEM,0.0,0.0,2010-02-01
264,NI,0.0,0.0,2010-02-01
265,NKE,0.0,0.0,2010-02-01
266,NOC,0.0,0.0,2010-02-01
267,NOV,0.0,0.0,2010-02-01
268,NOVL,0.0,0.0,2010-02-01
269,NRG,0.0,0.0,2010-02-01
270,NTAP,0.0,0.0,2010-02-01
271,NTRS,0.0,0.0,2010-02-01
272,NUE,0.0,0.0,2010-02-01
273,NVDA,0.0,0.0,2010-02-01
274,NWL,0.0,0.0,2010-02-01
275,NYT,0.0526502194053463,0.0526502194053462,2010-02-01
276,ODP,0.0,0.0,2010-02-01
277,OI,0.0,0.0,2010-02-01
278,OMC,0.0,0.0,2010-02-01
279,ORCL,0.0,0.0,2010-02-01
280,ORLY,0.0,0.0,2010-02-01
281,PAYX,0.0,0.0,2010-02-01
282,PBG,0.0,0.0,2010-02-01
283,PBI,0.0,0.0,2010-02-01
284,PCAR,0.0,0.0,2010-02-01
285,PCG,0.0,0.0,2010-02-01
286,PCL,0.0,0.0,2010-02-01
287,PCLN,0.0,0.0,2010-02-01
288,PCP,0.0,0.0,2010-02-01
289,PDCO,0.0,0.0,2010-02-01
290,PEG,0.0,0.0,2010-02-01
291,PEP,0.0,0.0,2010-02-01
292,PFE,0.0,0.0,2010-02-01
293,PFG,0.0,0.0,2010-02-01
294,PG,0.0,0.0,2010-02-01
295,PH,0.0,0.0,2010-02-01
296,PHM,0.0,0.0,2010-02-01
297,PKI,0.0,0.0,2010-02-01
298,PLD,0.0,0.0,2010-02-01
299,PM,0.0,0.0,2010-02-01
300,PNC,0.0,0.0,2010-02-01
301,PNW,0.0,0.0,2010-02-01
302,POM,0.0,0.0,2010-02-01
303,PPG,0.0,0.0,2010-02-01
304,PPL,0.0,0.0,2010-02-01
305,PSA,0.0,0.0,2010-02-01
306,PTV,0.0,0.0,2010-02-01
307,PWR,0.0,0.0,2010-02-01
308,PXD,0.0,0.0,2010-02-01
309,QCOM,0.0,0.0,2010-02-01
310,QLGC,0.0,0.0,2010-02-01
311,R,0.0,0.0,2010-02-01
312,RAI,0.0,0.0,2010-02-01
313,RDC,0.0,0.0,2010-02-01
314,RF,0.0,0.0,2010-02-01
315,RHI,0.0,0.0,2010-02-01
316,RHT,0.0,0.0,2010-02-01
317,ROK,0.0,0.0,2010-02-01
318,ROP,0.0,0.0,2010-02-01
319,ROST,0.0,0.0,2010-02-01
320,RRC,0.0,0.0,2010-02-01
321,RRD,0.0,0.0,2010-02-01
322,RSG,0.0,0.0,2010-02-01
323,RSH,0.0,0.0,2010-02-01
324,RTN,0.0,0.0,2010-02-01
325,RX,0.1202383169292934,0.1202383169292931,2010-02-01
326,SBUX,0.0,0.0,2010-02-01
327,SCG,0.0,0.0,2010-02-01
328,SCHW,0.0,0.0,2010-02-01
329,SEE,0.0,0.0,2010-02-01
330,SHW,0.0,0.0,2010-02-01
331,SIAL,0.0,0.0,2010-02-01
332,SJM,0.0,0.0,2010-02-01
333,SLB,0.0,0.0,2010-02-01
334,SLM,0.0,0.0,2010-02-01
335,SNA,0.0,0.0,2010-02-01
336,SNDK,0.0,0.0,2010-02-01
337,SNI,0.0,0.0,2010-02-01
338,SO,0.0,0.0,2010-02-01
339,SPG,0.0,0.0,2010-02-01
340,SPLS,0.0,0.0,2010-02-01
341,SRE,0.0,0.0,2010-02-01
